ENV_VAR_NAME,FIRST_FILE,FIRST_LINE
PROMETHEUS_MONITOR_CRITICAL_BUCKETS_ONLY,./usecases/config/environment.go,96
PROMETHEUS_MONITORING_ENABLED,./usecases/config/environment.go,74
PROMETHEUS_MONITORING_GROUP,./usecases/config/environment.go,81
PROMETHEUS_MONITORING_GROUP_CLASSES,./usecases/config/environment.go,80
PROMETHEUS_MONITORING_METRIC_NAMESPACE,./usecases/config/environment.go,92
PROMETHEUS_MONITORING_PORT,./usecases/config/environment.go,196
QNA_INFERENCE_API,./modules/qna-transformers/module.go,138
QNA_WAIT_FOR_STARTUP,./modules/qna-transformers/module.go,144
QUERY_DEFAULTS_LIMIT,./usecases/config/environment.go,607
QUERY_DEFAULTS_LIMIT_GRAPHQL,./usecases/config/environment.go,620
QUERY_HYBRID_MAXIMUM_RESULTS,./usecases/config/environment.go,644
QUERY_MAXIMUM_RESULTS,./usecases/config/environment.go,633
QUERY_NESTED_CROSS_REFERENCE_LIMIT,./usecases/config/environment.go,654
QUERY_SLOW_LOG_ENABLED,./usecases/config/environment.go,956
QUERY_SLOW_LOG_THRESHOLD,./usecases/config/environment.go,960
QUEUE_RETRY_INTERVAL,./adapters/repos/db/queue/scheduler.go,90
QUEUE_SCHEDULER_INTERVAL,./adapters/repos/db/queue/scheduler.go,73
RAFT_ENABLE_ONE_NODE_RECOVERY,./usecases/config/environment.go,1141
RAFT_FORCE_ONE_NODE_RECOVERY,./usecases/config/environment.go,1142
RAFT_METADATA_ONLY_VOTERS,./usecases/config/environment.go,1006
RECOUNT_PROPERTIES_AT_STARTUP,./usecases/config/environment.go,150
REINDEX_INDEXES_AT_STARTUP,./usecases/config/environment.go,183
REINDEX_MAP_TO_BLOCKMAX_SELECT,./usecases/config/environment.go,584
REINDEX_SET_TO_ROARINGSET_AT_STARTUP,./usecases/config/environment.go,154
REINDEX_VECTOR_DIMENSIONS_AT_STARTUP,./usecases/config/environment.go,127
REPLICA_MOVEMENT_ENABLED,./usecases/config/environment.go,934
REPLICA_MOVEMENT_MINIMUM_ASYNC_WAIT,./usecases/config/environment.go,938
REPLICATED_INDICES_REQUEST_QUEUE_ENABLED,./usecases/config/environment.go,1571
REPLICATION_FORCE_DELETION_STRATEGY,./usecases/config/environment.go,849
RERANKER_INFERENCE_API,./modules/reranker-transformers/module.go,66
RERANKER_WAIT_FOR_STARTUP,./modules/reranker-transformers/module.go,74
REVECTORIZE_CHECK_DISABLED,./usecases/config/environment.go,951
RUNTIME_OVERRIDES_ENABLED,./usecases/config/environment.go,899
RUNTIME_OVERRIDES_LOAD_INTERVAL,./usecases/config/environment.go,906
RUNTIME_OVERRIDES_PATH,./usecases/config/environment.go,901
SENTRY_CLUSTER_ID,./entities/sentry/config.go,72
SENTRY_CLUSTER_OWNER,./entities/sentry/config.go,71
SENTRY_DEBUG,./entities/sentry/config.go,107
SENTRY_DSN,./entities/sentry/config.go,61
SENTRY_ENABLED,./entities/sentry/config.go,56
SENTRY_ENVIRONMENT,./entities/sentry/config.go,66
SENTRY_ERROR_REPORTING_DISABLED,./entities/sentry/config.go,75
SENTRY_ERROR_SAMPLE_RATE,./entities/sentry/config.go,78
SENTRY_PROFILE_SAMPLE_RATE,./entities/sentry/config.go,100
SENTRY_PROFILING_DISABLED,./entities/sentry/config.go,97
SENTRY_RELEASE,./entities/sentry/config.go,108
SENTRY_TRACES_SAMPLE_RATE,./entities/sentry/config.go,89
SENTRY_TRACING_DISABLED,./entities/sentry/config.go,86
SPELLCHECK_INFERENCE_API,./modules/text-spellcheck/module.go,58
SUM_INFERENCE_API,./modules/sum-transformers/module.go,66
SUM_WAIT_FOR_STARTUP,./modules/sum-transformers/module.go,72
TENANT_ACTIVITY_READ_LOG_LEVEL,./usecases/config/environment.go,741
TENANT_ACTIVITY_WRITE_LOG_LEVEL,./usecases/config/environment.go,747
TOKENIZER_CONCURRENCY_COUNT,./entities/tokenizer/tokenizer.go,65
TOMBSTONE_DELETION_CONCURRENCY,./adapters/repos/db/vector/hnsw/delete.go,441
TOMBSTONE_DELETION_MAX_PER_CYCLE,./adapters/repos/db/vector/hnsw/delete.go,421
TOMBSTONE_DELETION_MIN_PER_CYCLE,./adapters/repos/db/vector/hnsw/delete.go,431
TRACK_VECTOR_DIMENSIONS,./usecases/config/environment.go,101
TRACK_VECTOR_DIMENSIONS_INTERVAL,./usecases/config/environment.go,117
TRANSFER_INACTIVITY_TIMEOUT,./usecases/config/environment.go,139
TRANSFORMERS_INFERENCE_API,./modules/text2vec-transformers/module.go,96
TRANSFORMERS_PASSAGE_INFERENCE_API,./modules/text2vec-transformers/module.go,94
